_id,fci_name,size_ha,province,district,commune,type_area,category,region,issuedate,reference,referen_kh,last_updat,language
9,Koh Rung Sanlem,11257,Preah Sihanouk,Preah Sihanouk,Koh Rong,Fisheries,Community Fishery,Marine fishery,,Report_on_Marine_Resources_and_Habitats__00.05.2011.pdf,,45352,English
13,Prek Svay,7447,Preah Sihanouk,Preah Sihanouk,Koh Rong,Fisheries,Community Fishery,Marine fishery,40460,Prakas_No_579__10.09.2010.pdf,,45352,English
17,Prey Nub2,4605,Preah Sihanouk,Prey Nob,Tuek Thla,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Preynob_Pir_community_fishery.pdf,,45352,English
4,Beung Rang flooded forest protection,4125,Preah Sihanouk,Prey Nob,Sameakki,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Boeung_Raing_community_fishery.pdf,,45352,English
3,Bek Krong flooded forest protection,3431,Preah Sihanouk,Prey Nob,Prey Nob,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Beak_Krong_community_fishery.pdf,,45352,English
14,Kam penh,3427,Preah Sihanouk,Stueng Hav,Kampenh,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Khampenh_community_fishery.pdf,,45352,English
11,Chhumpou Khmao,2670,Preah Sihanouk,Prey Nob,Tuol Totueng,Fisheries,Community Fishery,Marine fishery,40460,Agreement_Chom_Pou_Khmao_flooded_forest_protection___17.10.2008.pdf;Prakas_No_579__10.09.2010.pdf,,45352,English
12,Chong Ou,2629,Preah Sihanouk,Prey Nob,Samrong,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Jorng_Our_community_fishery.pdf,,45352,English
8,Banteay Prey flooded forest protection,2229,Preah Sihanouk,Prey Nob,Andoung Thma,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Banteay_Prey_community_fishery.pdf,,45352,English
282,Bit Trang flooded forest protection,2020,Preah Sihanouk,Prey Nob,Bet Trang,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Bit_Trang_community_fishery.pdf,,28/01/2022,English
23,Phum Deum Thkov,1734,Preah Sihanouk,Sihanouk,Koh Rung,Fisheries,Community Fishery,Marine fishery,26/12/2011,Prakas_No_628__26.12.2011.pdf,,45352,English
10,Chroulong flooded forest protection,1572,Preah Sihanouk,Prey Nob,Tuek L'ak,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Jrolorng_community_fishery.pdf,,45352,English
16,Tumnob Rolok flooded forest protection,1189,Preah Sihanouk,Stueng Hav,Tumnob Rolok,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Tumnub_Rorlork_community_fishery.pdf,,45352,English
15,Ou Tress flooded forest protection,496,Preah Sihanouk,Stueng Hav,Ou Treh,Fisheries,Community Fishery,Marine fishery,,Agreement_and_relevant_documents_for_Ou_Tres_community_fishery.pdf,,45352,English
